building_code,room_code,floor_label,location_text,is_active
宿舍楼1栋,弱电井-1-1F,1层,东楼道,true
宿舍楼1栋,弱电井-1-2F,2层,东楼道,true
宿舍楼1栋,弱电井-1-3F,3层,东楼道,true
宿舍楼1栋,弱电井-1-4F,4层,东楼道,true
宿舍楼1栋,网络机房-1,1层,地下室,true
宿舍楼2栋,弱电井-2-1F,1层,北楼道,true
宿舍楼2栋,弱电井-2-2F,2层,北楼道,true
宿舍楼2栋,弱电井-2-3F,3层,北楼道,true
宿舍楼2栋,弱电井-2-4F,4层,北楼道,true
宿舍楼2栋,网络机房-2,1层,地下室,true
宿舍楼3栋,弱电井-3-1F,1层,西楼道,true
宿舍楼3栋,弱电井-3-2F,2层,西楼道,true
宿舍楼3栋,弱电井-3-3F,3层,西楼道,true
宿舍楼3栋,网络机房-3,1层,主入口旁,true
教学楼A,弱电井-JA-1F,1层,南侧走廊,true
教学楼A,弱电井-JA-2F,2层,南侧走廊,true
教学楼A,弱电井-JA-3F,3层,南侧走廊,true
教学楼A,网络中心机房,1层,楼梯间旁,true
行政楼,弱电总配线间,1层,配电房旁,true
行政楼,弱电井-XZ-2F,2层,电梯旁,true
